customer_id,loan_id,loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status,application_date,approval_date,disbursement_date,due_date
CUST-00004912,LN00004170,"Car Loan",16795,0,15,Self-employed,Medium,833,Male,Single,Master,False,2018-04-05,2018-04-23,2018-04-24,2018-08-14
CUST-00004194,LN00002413,"Personal Loan",1860,0,56,Full-time,Medium,776,Female,Married,Bachelor,False,2022-12-30,2022-12-31,2023-01-12,2023-04-05
CUST-00003610,LN00000024,"Personal Loan",77820,0,51,Full-time,Low,697,Male,Divorced,"High School",False,2019-11-15,2019-11-18,2019-11-27,2020-02-24
CUST-00001895,LN00001742,"Car Loan",55886,0,30,Full-time,Low,795,Female,Married,PhD,False,2021-08-25,2021-09-08,2021-09-11,2022-02-25
CUST-00003782,LN00003161,"Home Loan",7265,0,48,Part-time,Low,519,Female,Married,"High School",False,2020-09-02,2020-09-07,2020-09-11,2020-12-29
CUST-00002287,LN00003606,"Car Loan",83386,0,13,Self-employed,Medium,472,Male,Divorced,PhD,False,2021-03-17,2021-03-17,2021-03-29,2021-06-25
CUST-00004571,LN00003372,"Car Loan",38194,0,26,Part-time,High,689,Male,Married,PhD,False,2021-09-04,2021-09-21,2021-10-04,2021-12-18
CUST-00002572,LN00002092,"Car Loan",88498,0,13,Part-time,Low,801,Female,Divorced,"High School",False,2021-04-17,2021-04-24,2021-05-07,2021-10-24
CUST-00001416,LN00001061,"Home Loan",45131,0,22,Self-employed,Low,559,Male,Divorced,Master,False,2019-10-16,2019-10-28,2019-10-29,2020-02-28
CUST-00000009,LN00003352,"Education Loan",61263,0,56,Self-employed,Low,430,Male,Divorced,PhD,False,2021-08-07,2021-08-25,2021-09-01,2022-02-09
CUST-00001863,LN00000461,"Personal Loan",17023,0,34,Full-time,High,412,Female,Divorced,Bachelor,False,2022-07-04,2022-07-19,2022-07-23,2023-01-04
CUST-00001234,LN00002118,"Personal Loan",42090,0,21,Full-time,Low,319,Male,Married,PhD,False,2019-05-12,2019-05-12,2019-05-19,2019-09-30
CUST-00003126,LN00001607,"Education Loan",68221,0,14,Self-employed,Low,514,Male,Married,PhD,False,2021-08-17,2021-08-18,2021-08-26,2021-11-09
CUST-00004712,LN00000072,"Car Loan",65820,0,16,Full-time,Medium,609,Female,Divorced,Master,False,2021-03-30,2021-04-17,2021-05-01,2021-10-13
CUST-00002458,LN00004924,"Car Loan",1769,0,14,Full-time,Medium,550,Female,Divorced,PhD,False,2018-03-02,2018-03-15,2018-03-27,2018-05-21
CUST-00000010,LN00004273,"Personal Loan",60735,0,49,Self-employed,Medium,787,Female,Divorced,"High School",False,2020-05-10,2020-05-24,2020-06-03,2020-07-03
CUST-00003005,LN00000707,"Car Loan",63955,0,24,Part-time,High,681,Male,Divorced,Master,True,2018-03-13,2018-03-14,2018-03-22,2018-08-10
CUST-00004648,LN00001929,"Education Loan",65925,0,53,Self-employed,Medium,708,Female,Single,PhD,True,2021-12-31,2022-01-12,2022-01-15,2022-05-14
CUST-00004976,LN00004980,"Personal Loan",68969,0,30,Self-employed,Low,570,Male,Married,"High School",True,2019-04-27,2019-05-16,2019-05-25,2019-08-01
CUST-00000268,LN00002799,"Home Loan",6311,0,51,Part-time,Low,706,Male,Married,"High School",True,2018-04-25,2018-05-23,2018-05-24,2018-11-06
CUST-00003862,LN00001178,"Car Loan",84104,0,46,Full-time,High,493,Male,Divorced,PhD,False,2021-05-14,2021-06-02,2021-06-15,2021-08-10
CUST-00002715,LN00000154,"Education Loan",54707,0,35,Part-time,High,740,Male,Single,Bachelor,False,2021-09-19,2021-09-29,2021-10-09,2022-04-04
CUST-00004547,LN00000030,"Personal Loan",86305,0,35,Part-time,Low,612,Female,Single,Bachelor,False,2021-08-22,2021-08-31,2021-09-01,2021-10-16
CUST-00002642,LN00003312,"Personal Loan",29693,0,28,Self-employed,High,378,Male,Single,PhD,False,2020-06-29,2020-06-30,2020-07-11,2020-10-15
CUST-00003807,LN00003827,"Home Loan",72932,0,51,Full-time,Low,479,Male,Divorced,PhD,False,2019-07-08,2019-08-05,2019-08-09,2019-09-29
CUST-00001392,LN00004787,"Car Loan",94016,0,21,Full-time,Medium,313,Male,Single,"High School",False,2022-04-05,2022-04-21,2022-04-30,2022-08-10
CUST-00001083,LN00001875,"Home Loan",26658,0,13,Part-time,Low,545,Female,Divorced,PhD,False,2022-06-16,2022-06-18,2022-06-21,2022-11-17
CUST-00000294,LN00000237,"Education Loan",85478,0,55,Self-employed,High,313,Female,Single,PhD,True,2022-05-23,2022-06-21,2022-06-26,2022-12-08
CUST-00004080,LN00002186,"Personal Loan",19431,0,34,Part-time,Medium,398,Female,Divorced,"High School",False,2021-03-04,2021-03-07,2021-03-15,2021-08-26
CUST-00002836,LN00004726,"Personal Loan",3747,0,17,Full-time,Low,332,Male,Divorced,PhD,True,2022-05-21,2022-06-16,2022-06-22,2022-10-05
CUST-00004965,LN00000618,"Home Loan",60150,0,13,Full-time,High,735,Male,Married,PhD,False,2021-03-20,2021-04-10,2021-04-21,2021-05-21
CUST-00004206,LN00001572,"Home Loan",66725,0,32,Self-employed,High,556,Female,Divorced,PhD,False,2019-07-02,2019-07-06,2019-07-19,2020-01-04
CUST-00002155,LN00002438,"Home Loan",85654,0,46,Self-employed,Medium,333,Female,Single,"High School",False,2018-05-20,2018-06-18,2018-06-28,2018-08-10
CUST-00002345,LN00004456,"Car Loan",36773,0,40,Part-time,Low,318,Male,Married,PhD,True,2019-02-11,2019-02-12,2019-02-15,2019-08-10
CUST-00003924,LN00000582,"Personal Loan",68435,0,18,Self-employed,Low,559,Female,Single,Bachelor,False,2022-10-25,2022-10-28,2022-11-03,2022-12-21
CUST-00001855,LN00002255,"Car Loan",57886,0,40,Part-time,High,715,Male,Divorced,PhD,False,2019-05-05,2019-05-16,2019-05-17,2019-08-31
CUST-00003869,LN00000601,"Education Loan",67803,0,48,Self-employed,Medium,436,Female,Married,Bachelor,True,2020-06-15,2020-06-20,2020-06-24,2020-11-08
CUST-00003791,LN00000979,"Car Loan",32551,0,34,Part-time,Low,658,Male,Divorced,PhD,True,2018-07-24,2018-08-20,2018-08-31,2018-12-12
CUST-00003033,LN00000515,"Home Loan",12394,0,44,Full-time,Medium,415,Male,Divorced,"High School",False,2018-10-22,2018-11-10,2018-11-20,2019-04-09
CUST-00000845,LN00000810,"Education Loan",70092,0,19,Full-time,High,703,Male,Single,Bachelor,False,2020-05-10,2020-06-05,2020-06-13,2020-11-14
